CSA_ID,Mailing_ST,Mailing_City,Mailing_State,Mailing_StateFIPS,Mailing_Zip,marketname,HQ_ST,HQ_City,HQ_State,HQ_StateFIPS,HQ_Zip,CSA_ManagerName,CSA_Email,CSA_Phone,CSA_Website,Available_Months,Available_Month1,Available_Month2,Available_Month3,Available_Month4,Available_Month5,Available_Month6,Available_Month7,Available_Month8,Available_Month9,Available_Month10,Available_Month11,Available_Month12,ProductList,CSA_organic,CSA_organicDesc,farming_practicesList,farming_practices_type_1,farming_practices_type_2,farming_practices_type_3,farming_practices_type_4,farming_practices_type_5,farming_practices_type_6,NumShares,ShareSizeList,SharesSize_full_half,SharesSize_full,SharesAvailablePurchaseDate,ItemsInShareBoxList,ItemsInShareBox_1,ItemsInShareBox_2,ItemsInShareBox_3,AccptdPmntList,AccptdPmnt_Cash,AccptdPmnt_Checks,AccptdPmnt_CreditCd,AccptdPmnt_SNAP,CSAPaymentTypeList,CSAPaymentType_1,CSAPaymentType_2,CSAPaymentType_3,CSAPaymentType_4,DeliverPickUpMethodList,DeliverPickUpMethod_1,DeliverPickUpMethod_2,DeliverPickUpMethod_3,DeliverPickUpMethod_4,NumNbrDelivery,NameNbrDelivery
3002896,,,,,,1860 Organics,3858 Floridaville Rd.,Cato,NY,36,13033,Jason Robison,jason@1860organics.net,315-857-1316,www.1860organics.com,Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,0,1,1,1,1,1,0,0,Fresh fruits; Fresh vegetables; ,1,Yes,,0,0,0,0,0,0,25,Full shares; ,0,1,6/23/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; Debit/Credit cards; ,1,1,1,0,One advance payment; ,1,0,0,0, Deliver to neighborhood sites; ,1,0,0,0,1,; 
3004445,,,,,,3 Squares Produce Farms,623 Coatsville Ave.,Salt Lake City,UT,49,84105,Jack Wilbur,jack@3squaresproduce.com,801-243-2801,3squaresproduce.com,May; Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,1,1,1,1,1,1,0,0,Eggs; Fresh fruits; Fresh vegetables; ,2,,No pesticides; ,1,0,0,0,0,0,42,Full shares; Half shares; ,1,1,2/1/2014,CSA decides product assortment based entirely on supply availability; CSA offers subscription options for specific product categories at the beginning of the delivery season; ,1,1,0,Cash; Checks; Debit/Credit cards; ,1,1,1,0,One advance payment; Reduced subscription fees in exchange for labor; ,1,0,1,0, Deliver to neighborhood sites; ,1,0,0,0,4,"Bountiful,Utah; Salt Lake City,Utah; Murray,Utah; West Jordan,Utah; "
3002592,,,,,,4 Seasons CSA,"105 Simrall Blvd., MC #22",Bottineau,ND,38,58318,Entrepreneurial Center for Horticulture Dakota College at Bottineau,crystal.grenier@dakotacollege.edu,701-228-5649,,Jul; ,0,0,0,0,0,0,1,0,0,0,0,0,Fresh/dried herbs; Fresh vegetables; ,1,Yes,,0,0,0,0,0,0,17,Full shares; Half shares; ,1,1,5/1/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,One advance payment; Reduced subscription fees in exchange for labor; ,1,0,1,0, Subscribers pick up merchandise from CSA farm(s); ,0,0,0,1,,
3005482,,,,,,4P Foods,"350 G Street SW, Unit N216",Washington,DC,11,20024,Tom McDougall,Tom@4PFoods.com,703-732-6664,www.4pfoods.com,Year Round,1,1,1,1,1,1,1,1,1,1,1,1,"Baked goods; Canned, preserved fruits/vegetables; Dairy products; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Grains/flour; Honey; Maple products; Mushrooms; Poultry/fowl meat/products; Red/non-poultry meat/products; ",1,Yes,No hormones; Fair Labor practices; Humane treatment of animals; Pasture-raised/free range animals; ,0,0,1,1,1,1,500,"Small, Medium, or Large; ",0,0,1/1/2014,CSA offers subscription options for specific product categories at the beginning of the delivery season; Customer can skip/pause anytime; ,0,1,0,Debit/Credit cards; ,0,0,1,0,Payments in installments; Payments made on the 1st of every month based on what was delivered the month before; ,0,1,0,0, Deliver to neighborhood sites;  Deliver directly to subscribers’ homes;  Deliver to subscribers’ workplaces; ,1,1,1,0,35,"Washington,District of Columbia; Arlington ,Virginia; Alexandria,Virginia; Reston,Virginia; Clarendon,Virginia; Falls Church,Virginia; Tysons Corner,Virginia; McLean,Virginia; Fairfax,Virginia; Rockville,Maryland; Bethesda,Maryland; Chevy Chase,Maryland; Silver Spring,Maryland; Friendship Heights ,Maryland; "
3001651,,,,,,5 Seasons Farm and Creamery LLC,280 Stevens Pond Rd.,Montville,ME,23,04941,Ed Wynn,ewynn@fairpoint.net,207-589-4881,,Jan; Feb; Oct; Nov; Dec; ,1,1,0,0,0,0,0,0,0,1,1,1,"Baked goods; Canned, preserved fruits/vegetables; Dairy products; Eggs; Honey; Poultry/fowl meat/products; Red/non-poultry meat/products; Soap/body care products; ",2,,No pesticides; No antibiotics; No hormones; Humane treatment of animals; Pasture-raised/free range animals;  artisan; ,1,1,1,0,1,1,6,Full shares; Half shares; ,1,1,10/3/2014,CSA offers subscription options for specific product categories at the beginning of the delivery season; ,0,1,0,Cash; ,1,0,0,0,One advance payment; Payments in installments; Reduced subscription fees based on household income; ,1,1,0,1, Deliver to neighborhood sites;  Subscribers pick up merchandise from CSA farm(s); ,1,0,0,1,2,"Belfast ,Maine; Liberty ,Maine; "
3000463,,,,,,63rd St. Farm ,3796 N. 63Rd. Street,Boulder,CO,8,80301,Brian & Amanda Scott,63rdstfarm@gmail.com,720-938-3059,http://www.63rdstfarm.com/,Jun; Jul; Aug; Sep; Oct; Nov; ,0,0,0,0,0,1,1,1,1,1,1,0,Cut flowers; Eggs; Fresh/dried herbs; Fresh vegetables; Honey; Mushrooms; Poultry/fowl meat/products; Red/non-poultry meat/products; Wine/spirits/beer/hard cider; ,2,,,0,0,0,0,0,0,150,Full shares; Half shares; ,1,1,10/1/2013,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,One advance payment; ,1,0,0,0, Subscribers pick up merchandise from CSA farm(s); ,0,0,0,1,,
3005391,,,,,,9 Miles East Farm Meal Subscription Service,136 Goff Rd.,Schuylerville,NY,36,12871,Gordon Sacks,gordon@9mileseast.com,518-514-8106,www.9mileseast.com,Year Round,1,1,1,1,1,1,1,1,1,1,1,1,Ready-to-eat meals; ,1,Yes,No antibiotics; No hormones; Fair Labor practices; ,0,1,1,1,0,0,,Full shares; Half shares; ,1,1,1/1/2014,Customers receive a ready-to-eat meal each week produced in an on-farm commercial kitchen; ,0,0,0,Cash; Checks; Debit/Credit cards; ,1,1,1,0,One advance payment; Payments in installments; ,1,1,0,0, Deliver to neighborhood sites;  Deliver directly to subscribers’ homes;  Deliver to subscribers’ workplaces; ,1,1,1,0,5,"Saratoga Springs ,New York; Schuylerville,New York; Ballston Spa,New York; Clifton Park,New York; "
3001295,,,,,,A Place on Earth CSA Farm,499 Long Branch Rd.,Turners Station,KY,21,40075,Carden Willis,courtney@aplaceonearthcsa.com,502-532-0476,aplaceonearthcsa.com,Year Round,1,1,1,1,1,1,1,1,1,1,1,1,Cut flowers; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Poultry/fowl meat/products; ,2,,No pesticides; No antibiotics; No hormones; Pasture-raised/free range animals; ,1,1,1,0,0,1,50,Full shares; ,0,1,5/21/2014,CSA decides product assortment based entirely on supply availability; CSA offers subscription options for specific product categories at the beginning of the delivery season; ,1,1,0,Cash; Checks; ,1,1,0,0,One advance payment; Payments in installments; Reduced subscription fees in exchange for labor; ,1,1,1,0, Deliver to neighborhood sites;  Subscribers pick up merchandise from CSA farm(s); ,1,0,0,1,3,"Louisville/Jefferson County metro government (balance),Kentucky; New Castle ,Kentucky; "
3000792,,,,,,Abbe Hills Farm,825 Abbe Hills Rd.,Mt. Vernon,IA,19,52314,Laura Krouse,laura@abbehills.com,319-895-6924,www.abbehills.com,Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,0,1,1,1,1,1,0,0,Eggs; Fresh vegetables; ,2,,No pesticides; Pasture-raised/free range animals; ,1,0,0,0,0,1,160,"Full shares; Half shares; full shares, half season; ",1,1,3/3/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; ,1,1,0,0,One advance payment; Payments in installments; Reduced subscription fees based on household income; ,1,1,0,1, Subscribers pick up merchandise from CSA farm(s); ,0,0,0,1,,
3005492,,,,,,Able Farms,9571 N. Buchanan Ave.,Portland,OR,41,97203,Megan Denton,ablefarmspdx@gmail.com,503-828-7458,www.ablefarms.org,May; Jun; Jul; Aug; Sep; Oct; ,0,0,0,0,1,1,1,1,1,1,0,0,"Canned, preserved fruits/vegetables; Cut flowers; Dry beans; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Poultry/fowl meat/products; ",2,,No pesticides; No antibiotics; No hormones; Fair Labor practices; Humane treatment of animals; Pasture-raised/free range animals; ,1,1,1,1,1,1,20,Full shares; ,0,1,3/1/2014,CSA decides product assortment based entirely on supply availability; ,1,0,0,Cash; Checks; Debit/Credit cards; ,1,1,1,0,One advance payment; ,1,0,0,0, Subscribers pick up merchandise from CSA farm(s); ,0,0,0,1,,
