FMID,Marketname,,street,city,State,zip,Season1Start,Season1End,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested
1000618,100-Mile Market,http://www.peoplesfoodco-op.org/,507 Harrison Street,Kalamazoo,Michigan,49007,May,October,Wed: 3:00 PM-7:00 PM;,,,,,,,-85.57502,42.29596,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N,Y
1009364,106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,106 S. Main Street,Six Mile,South Carolina,29682,,,,,,,,,,-82.8187,34.8042,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1010691,10th Street Community Farmers Market,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275,10th Street and Poplar,Lamar ,Missouri,64759,April,November,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,,,,,,,-94.2746191,37.495628,Y,N,N,N,N,-,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N
1002454,112 St Madison Avenue,,112th Madison Avenue,New York,New York,10029,July,November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.9493,40.7939,Y,N,Y,Y,N,-,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
1009845,125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd.",New York,New York,10027,June,November,Tue: 10:00 AM-7:00 PM;,,,,,,,-73.9482477,40.8089533,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,N,N,N,N
1005586,12th & Brandywine Urban Farm Market,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,12th & Brandywine Streets,Wilmington,Delaware,19801,May,October,Fri: 8:00 AM-11:00 AM;,,,,,,,-75.53446,39.742117,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1008071,14 & U Farmers' Market,https://www.facebook.com/14UFarmersMarket,1400 U Street NW ,Washington,District of Columbia,20009,May,November,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.0320505,38.9169984,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N
1007098,17 on the Square,,17 Lincoln Square,Gettysburg,Pennsylvania,17325,,,,,,,,,,-77.2316,39.8313,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1010284,175th Street Greenmarket,http://www.grownyc.org/ourmarkets,175th Street at Wadsworth Ave,New York,New York,10033,June,November,Thu: 8:00 AM-5:00 PM;,,,,,,,-73.9378024,40.8459583,Y,Y,Y,Y,Y,-,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N
1003877,17th Ave Market,http://www.iatp.org/minimarkets,1622 6th St NE,Minneapolis,Minnesota,55413,June,September,Wed:3:00 pm - 7:00 pm;,,,,,,,-93.2591,45.0044,Y,Y,Y,Y,N,-,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1002619,17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,17th & Main Streets,Richmond,Virginia,23219,,,,,,,,,,-77.4886,37.5583,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1010334,18th and Christian,,18th and Christian Streets,Philadelphia,Pennsylvania,,,,,,,,,,,-75.1727012,39.9408277,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1009994,18th Street Farmer's Market,https://www.facebook.com/ScottsbluffFarmersMarket,18th and Broadway,Scottsbluff,Nebraska,69361,June,September,Sat: 8:00 AM-11:00 AM;,,,,,,,-103.662538,41.864268,Y,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,N,N
1010376,18th Street Farmers Market,https://www.facebook.com/groups/631614906915563/,825 18th Street,Charleston,Illinois,61920,June,October,Sat: 8:00 AM-12:00 PM;,,,,,,,-88.163254,39.490737,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N
1003233,2014 Wood County Farmers' Market,https://www.facebook.com/groups/Woodcountyfarmersmarket/,555 W. Grand Ave.,Wisconsin Rapids,Wisconsin,54495,June,October,Thu: 9:00 AM-5:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-89.831575,44.394819,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N
1000709,20th Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,71 Waterwitch Avenue,Highlands,New Jersey,07732,June,November,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.994358,40.404837,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N
1005309,22nd and Tasker Farmers' Market,http://www.foodtrustmarkets.org/markets.html,22nd and Tasker Streets,Philadelphia,Pennsylvania,19146,,,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.18142,39.93216,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
1006576,25th Avenue Farmers' Market,http://www.pcfma.com/market_home.php?market_id=40,194 W 25th Avenue,San Mateo,California,94403,May,October,Tue:4:00 PM - 7:30 PM;,,,,,,,-122.3098753,37.5433429,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
1010336,26th and Allegheny,,26th and Allegheny Streets,Philadelphia,Pennsylvania,,,,,,,,,,,-75.1722883,40.0040946,Y,N,N,N,N,-,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
