FMID,MarketName,createTime,updateTime,finishTime,Mailing_State,Mailing_StateFIPS,Mailing_City,Mailing_ST,Mailing_Zip,Market_ManagerName,FH_ContactTitle,Market_Email,Market_Phone,Market_Website,Market_Facebook,Market_Twitter,Location_State,Location_StateFIPS,Location_County,Location_CountyFIPS,Location_ST,Location_City,Location_Zip,Location_Desc,EstablishYear,Legal_Status,Legal_StatusDesc,OperationMonthList,OperationM_01,OperationM_02,OperationM_03,OperationM_04,OperationM_05,OperationM_06,OperationM_07,OperationM_08,OperationM_09,OperationM_10,OperationM_11,OperationM_12,Organic,OrganicDesc,ProductList,BakedGoods,Jams,Coffee,Flowers,Cheese,Beans,Eggs,Seafood,Herbs,Fruits,Vegetables,Grains,Recycled,Honey,Juices,Maple,Mushrooms,Nuts,Petfood,Poultry,Meat,Soap,Tofu,WildHarvested,Wine,ProductListExclusivelylocal,ProductListOnlyLocalWhenA,ProductListLocalNonLocal,ProductListNonlocal,Local_BakedGoods,Local_Processed,Local_Coffee,Local_Flowers,Local_Dairy,Local_DryBeans,Local_Eggs,Local_Seafood,Local_Herbs,Local_Fruits,Local_Vegetables,Local_Grains,Local_Recycled,Local_Honey,Local_Juices,Local_Maple,Local_Mushrooms,Local_Nuts,Local_Petfood,Local_Meat,Local_NonPoultry,Local_Soap,Local_Protein_NonAnim,Local_WildForest,Local_Wine,PracticeList,Practices_CertifiedOrganic,Practices_NaturallyGrown,Practices_PestManagement,Practices_NonCertifiedOrganic,Practices_FreeRange,Practices_GrassFed,Practices_AntibioticFree,Practices_Marine,Practices_ChemicalFree,Practices_GAP,Practices_GHP,Practices_CertifiedHumane,Practices_AnimalWelfare,Practices_FairTrade,F2BList,F2B_LargeSupermarkets,F2B_SmallGroceryStores,F2B_CornerStores,F2B_FoodRetail,F2B_Restaurants,F2B_Caterers,F2B_Distributors,F2B_FoodProcessors,F2B_PreK,F2B_K12,F2B_Colleges,F2B_Hospitals,F2B_SeniorCare,F2B_Government,F2CList,F2C_BuyingClubs,F2C_Online,F2C_YourStorefront,F2C_CSA,F2C_FarmersMarkets,F2C_Mobile,F2C_FarmStands,ProcurementList,procurement1,procurement2,OpserviceList,OPservice_Aggregation,OPservice_Production,OPservice_Distribution,OPservice_Brokering,OPservice_SharedUse,OPservice_Packaging,OPservice_ProductStorage,OPservice_Canning,OPservice_Freezing,OPservice_Cutting,PSServiceList,PSService_Marketing,PSService_Branding,PSService_Demonstration,PSService_ProductionTraining,PSService_BusinessManagement,PSService_PaidConsult,PSService_FoodSafety,PSService_Liability,PSService_Transportation,CSServiceList,CSService_PaidYouth,CSService_SNAP,CSService_WIC,CSService_MatchingSNAP,CSService_Cooking,CSService_Meal,CSService_HealthScreenings,CSService_Transportation,CSService_MobileMarket,CSService_Subsidized,CSService_Education,CSService_otherEducation,CSService_FoodDonation
5000312,4Rivers Fresh Foods,2014-10-06 16:05:00,2014-10-06 16:13:46,2014-10-06 16:13:46,Mississippi,28,Hernando,315 Losher Street  Suite 100,38632,Peggy Linton,Coordinator,plinton@cfnm.org,662.449.5002,4RiversFoods.com,,,Mississippi,28,DeSoto,033,315 Losher St.  Suite 100,Hernando,38632,,2013,1,Non-Profit,Year Round;,1,1,1,1,1,1,1,1,1,1,1,1,2,,Baked goods; Coffee/tea; Dairy products; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Grains/flour; Honey; Mushrooms; ,1,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Baked goods; Coffee/tea; Dairy products; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Grains/flour; Honey; Mushrooms; ,,,,1,,1,,1,,1,,1,1,1,1,,1,,,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Restaurants; Food processors; Hospitals; ,0,0,0,0,1,0,0,1,0,0,0,1,0,0,On-line store; Mobile retail units/food trucks; ,0,1,0,0,0,1,0,We take ownership of the products and resell to customers; ,1,0,Aggregation; Distribution services; Packaging/Repackaging; ,1,0,1,0,0,1,0,0,0,0,Marketing and promotional services; ,1,0,0,0,0,0,0,0,0,Accepting SNAP; Nutrition or cooking education; ,0,1,0,0,1,0,0,0,0,0,0,0,0
5000253,Adelante Mujeres Distributor,2014-08-06 17:20:36,2014-08-06 17:30:06,2014-08-06 17:30:06,Oregon,41,Forest Grove,2036 Main St. Suite A,97116,Karin Pfeiffer-Hoyt,Marketing & Outreach Coordinator,distributor@adelantemujeres.org,503-992-0078 ext. 302,http://www.adelantemujeres.org/agriculture/,https://www.facebook.com/adelantemujeres1,,Oregon,41,Washington,067,2036 Main St. Suite A,Forest Grove,97116,,2012,1,Non-Profit,Jun; Jul; Aug; Sep; Oct; Nov;,0,0,0,0,0,1,1,1,1,1,1,0,2,,Fresh fruits; Fresh vegetables; ,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fresh fruits; Fresh vegetables; ,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,"Integrated Pest Management; Non-Certified, but Practicing Organic; Chemical Free; ",0,0,1,1,0,0,0,0,1,0,0,0,0,0,"Restaurants; Caterers, bakeries; Pre-K food service; K-12 school food service; Colleges/Universities; ",0,0,0,0,1,1,0,0,1,1,1,0,0,0,,0,0,0,0,0,0,0,We take ownership of the products and resell to customers; ,1,0,Aggregation; Distribution services; Packaging/Repackaging; ,1,0,1,0,0,1,0,0,0,0,Marketing and promotional services; Branding/labeling products to indicate origin of product; Production and post-harvest handling training; Business management services or guidance; Food safety and/or GAP Training; Liability insurance that you offer producers; ,1,1,0,1,1,0,1,1,0,Subsidized farm shares; Education programs for institutions; ,0,0,0,0,0,0,0,0,0,1,1,0,0
5000267,Allen Market Place,2014-08-21 12:50:26,2014-08-21 13:26:22,2014-08-21 13:26:22,Michigan,26,Lansing,1619 East Kalamazoo,48912,Neal Valley,Exchange Manager,exchange@allenneighborhoodcenter.org,5179993923,http://www.allenmarketplace.org,https://www.facebook.com/AllenMarketPlace,,Michigan,26,Ingham,065,1629 E. Kalamazoo St.,Lansing,48912,Warehouse behind Allen Neighborhood Center. At the NorthWest corner of Shepard and E. Kalamazoo on Lansing's Eastside.,2013,1,Non-Profit,Year Round;,1,1,1,1,1,1,1,1,1,1,1,1,1,,"Baked goods; Canned, preserved fruits/vegetables; Coffee/tea; Dairy products; Dry beans; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Juices/non-alcoholic ciders; Maple products; Mushrooms; Poultry/fowl meat/products; Red/non-poultry meat/products; Wild harvested forest products; Wine/spirits/beer/hard cider; ",1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,"Baked goods; Canned, preserved fruits/vegetables; Coffee/tea; Dairy products; Dry beans; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Juices/non-alcoholic ciders; Maple products; Mushrooms; Poultry/fowl meat/products; Red/non-poultry meat/products; Wild harvested forest products; Wine/spirits/beer/hard cider; ",,,,1,1,1,,1,1,1,,1,1,1,,,,1,1,1,,,1,1,,,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Large supermarkets or supercenters; Small independent grocery stores; Corner stores, bodegas; Food retail cooperatives; Restaurants; Caterers, bakeries; Distributors; Food processors; Pre-K food service; K-12 school food service; Colleges/Universities; Hospitals; Senior care facilities; Government or corporate cafeterias; Individuals; Buying clubs; ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,Buying clubs; On-line store; CSA shares; Mobile retail units/food trucks; ,1,1,0,1,0,1,0,We sell on a consignment basis and take a commission on products sold; ,0,1,Aggregation; Brokering services; Shared use kitchen; Packaging/Repackaging; Product storage; Freezing; ,1,0,0,1,1,1,1,0,1,0,Marketing and promotional services; Demonstration/Incubator farm; Production and post-harvest handling training; Business management services or guidance; Paid consulting; Food safety and/or GAP Training; ,1,0,1,1,1,1,1,0,0,Accepting SNAP; WIC or FMNP benefits; Matching programs for SNAP benefits; Nutrition or cooking education; Subsidized farm shares; Other education or community awareness programs; Weekly food pantry of fresh bread and produce; Weekly year-round farmers market; Educational workshops on culinary skills and food business entrepreneurship; ,0,1,1,1,1,0,0,0,0,1,0,1,0
5000301,"American Mussel Harvesters, Inc.",2014-09-18 12:57:57,2014-09-18 13:21:47,2014-09-18 13:21:47,Rhode Island,44,North Kingstown,165 Tidal Drive,02852,Jane Bugbee,Vice President,janeb@americanmussel.com,4012948999,www.americanmussel.com,https://www.facebook.com/EatMussels,,Rhode Island,44,Kent,003,165 Tidal Drive,North Kingstown,02852,,1986,5,S Corp,Year Round;,1,1,1,1,1,1,1,1,1,1,1,1,2,,Fish/seafood; ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Fish/seafood; ,,,,,,,,,3,,,,,,,,,,,,,,,,,,HACCP; ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Large supermarkets or supercenters; Small independent grocery stores; Corner stores, bodegas; Food retail cooperatives; Restaurants; Caterers, bakeries; Distributors; Colleges/Universities; ",1,1,1,1,1,1,1,0,0,0,1,0,0,0,On-line store; Farmers markets; At our wholesale building; ,0,1,0,0,1,0,0,We take ownership of the products and resell to customers; ,1,0,Distribution services; Packaging/Repackaging; ,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
5000308,Appalachian Harvest,2014-10-02 09:57:32,2014-10-02 10:29:36,2014-10-02 10:29:36,Virginia,51,Abingdon,P.O. Box 791,24212,Robin Robbins,Appalachian Harvest General Manager,ahmrkt@yahoo.com,276-608-8547,http://asdevelop.org/programs/appalachian-harvest/,https://www.facebook.com/livebetterlocally,https://twitter.com/ASDevelop1,Virginia,51,Lee,105,280 Boone Trail Road,Duffield,24244,At red light turn left onto Duff Patt Hwy.  Boone Trail Road is the third right.  Appalachian Harvest is located across the road from the Pioneer Center.,2000,1,Non-Profit,Year Round;,1,1,1,1,1,1,1,1,1,1,1,1,1,,Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; ,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eggs; Fresh/dried herbs; ,,Fresh fruits; Fresh vegetables; ,,,,,,,,1,,1,3,3,,,,,,,,,,,,,,,USDA Certified Organic; Integrated Pest Management; Free Range/Pasture Raised; Good Agricultural Practices - (GAP)-Certified; Good Handling Practices (GHP)-Certified; Organic certification only required for organic products; ,1,0,1,0,1,0,0,0,0,1,1,0,0,0,Large supermarkets or supercenters; ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,We take ownership of the products and resell to customers; ,1,0,Aggregation; Distribution services; Brokering services; Packaging/Repackaging; Product storage; ,1,0,1,1,0,1,1,0,0,0,Marketing and promotional services; Branding/labeling products to indicate origin of product; Production and post-harvest handling training; Business management services or guidance; Food safety and/or GAP Training; Transportation services; on farm training and technical assistance; AGL insurance information; ,1,1,0,1,1,0,1,0,1,"Paid employment opportunities for youth; Food donation to local food pantries/banks; ASD, the parent organization for Appalachian Harvest has many other programs that address nutrition education, SNAP, etc.; ",1,0,0,0,0,0,0,0,0,0,0,0,1
5000188,Arcadia's Mobile Market,,2014-07-25 13:58:12,2014-07-25 13:58:12,Virginia,51,Alexandria,9000 Richmond Highway,22309,Benjamin Bartley,Food Access Director,info@arcadiafood.org,507-269-5597,http://arcadiafood.org,https://www.facebook.com/arcadiacenter,https://twitter.com/ArcadiaFood,District of Columbia,11,District of Columbia,001,550 Penn St. NE,Washington,20002,,2012,1,Non-Profit,Apr; May; Jun; Jul; Aug; Sep; Oct;,0,0,0,1,1,1,1,1,1,1,0,0,2,,Baked goods; Dairy products; Eggs; Fish/seafood; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Honey; Mushrooms; Poultry/fowl meat/products; Red/non-poultry meat/products; ,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,Baked goods; Dairy products; Eggs; Fish/seafood; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Honey; Mushrooms; Poultry/fowl meat/products; Red/non-poultry meat/products; ,,,,1,,,,1,,1,1,1,1,1,,,1,,,1,,,1,1,,,,,"Integrated Pest Management; Non-Certified, but Practicing Organic; Free Range/Pasture Raised; Antibiotic Free; We have developed our own standards of Sustainable Production; ",0,0,1,1,1,0,1,0,0,0,0,0,0,0,"Restaurants; Caterers, bakeries; K-12 school food service; ",0,0,0,0,1,1,0,0,0,1,0,0,0,0,Mobile retail units/food trucks; ,0,0,0,0,0,1,0,We take ownership of the products and resell to customers; ,1,0,Aggregation; Production such as operating a farm or ranch; Distribution services; Brokering services; Product storage; ,1,1,1,1,0,0,1,0,0,0,Marketing and promotional services; Branding/labeling products to indicate origin of product; Demonstration/Incubator farm; Production and post-harvest handling training; Business management services or guidance; Paid consulting; Transportation services; ,1,1,1,1,1,1,0,0,1,Paid employment opportunities for youth; Accepting SNAP; WIC or FMNP benefits; Matching programs for SNAP benefits; Nutrition or cooking education; Operating a mobile market; Other education or community awareness programs; Food donation to local food pantries/banks; ,1,1,1,1,1,0,0,0,1,0,0,1,1
5000070,Berkshire Organics Market and Delivery,,2014-08-13 11:13:04,2014-08-13 11:13:04,Massachusetts,25,Dalton,813 Dalton Division Rd.,01226,Brian Gibbons,Owner,brian@berkshireorganics.com,413-442-0888,http://www.berkshireorganics.com,https://www.facebook.com/berkshireorganics?fref=ts,,Massachusetts,25,Berkshire,003,813 Dalton Division Rd.,Dalton,01226,At the corner of Dalton Division Rd and Williams St.,2008,8,LLC,Year Round;,1,1,1,1,1,1,1,1,1,1,1,1,1,,"Baked goods; Canned, preserved fruits/vegetables; Coffee/tea; Cut flowers; Dairy products; Dry beans; Eggs; Fish/seafood; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Grains/flour; Green household products; Honey; Juices/non-alcoholic ciders; Maple products; Mushrooms; Nuts; Pet food; Poultry/fowl meat/products; Red/non-poultry meat/products; Soap/body care products; Tofu/non-animal protein; Wild harvested forest products; Wine/spirits/beer/hard cider; ",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Coffee/tea; Dairy products; Maple products; ,Cut flowers; ,"Baked goods; Canned, preserved fruits/vegetables; Dry beans; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Grains/flour; Green household products; Honey; Juices/non-alcoholic ciders; Mushrooms; Nuts; Pet food; Poultry/fowl meat/products; Red/non-poultry meat/products; Soap/body care products; Tofu/non-animal protein; Wild harvested forest products; Wine/spirits/beer/hard cider; ",Fish/seafood; ,3,3,1,2,1,3,3,4,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,"USDA Certified Organic; Integrated Pest Management; Non-Certified, but Practicing Organic; Free Range/Pasture Raised; Grass Fed; Antibiotic Free; Chemical Free; Good Agricultural Practices - (GAP)-Certified; Good Handling Practices (GHP)-Certified; Certified Humane; Fair Trade; ",1,0,1,1,1,1,1,0,1,1,1,1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,On-line store; Your own storefront retail; Delivery service; ,0,1,1,0,0,0,0,We take ownership of the products and resell to customers; ,1,0,Distribution services; Packaging/Repackaging; ,0,0,1,0,0,1,0,0,0,0,Marketing and promotional services; ,1,0,0,0,0,0,0,0,0,Paid employment opportunities for youth; Accepting SNAP; WIC or FMNP benefits; Operating a mobile market; Other education or community awareness programs; Food donation to local food pantries/banks; ,1,1,1,0,0,0,0,0,1,0,0,1,1
5000279,Blue Ridge Local,2014-08-25 17:39:51,8/25/2014 5:49:19 PM,,Virginia,51,Elkwood,PO Box 28,22718,Mark Seale,CEO,mark@blueridgeproduce.net,540-829-7223,www.blueridgeproduce.net,https://www.facebook.com/pages/Blue-Ridge-Produce-Company/194006207298881,,Virginia,51,Culpeper,047,13200 Willow Run Drive,Elkwood,22718,,2011,8,LLC,Year Round;,1,1,1,1,1,1,1,1,1,1,1,1,1,,Fresh fruits; Fresh vegetables; ,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fresh fruits; Fresh vegetables; ,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Large supermarkets or supercenters; Small independent grocery stores; Distributors; Food processors; Hospitals; ,1,1,0,0,0,0,1,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,We take ownership of the products and resell to customers; ,1,0,Aggregation; Distribution services; Product storage; ,1,0,1,0,0,0,1,0,0,0,Marketing and promotional services; Branding/labeling products to indicate origin of product; Production and post-harvest handling training; Business management services or guidance; Food safety and/or GAP Training; Transportation services; ,1,1,0,1,1,0,1,0,1,Paid employment opportunities for youth; Food donation to local food pantries/banks; ,1,0,0,0,0,0,0,0,0,0,0,0,1
5000076,Boston Organics,,9/25/2014 12:02:55 PM,,Massachusetts,25,Charlestown,"50 Terminal Street, Building 2, Suite 100",02129,Jeff Barry,President and CEO,Jeff@bostonorganics.com,6172421700,http://www.bostonorganics.com/,https://www.facebook.com/bostonorganics,https://twitter.com/BostonOrganics,Massachusetts,25,Suffolk,025,"50 Terminal Street, Building 2, Suite 100",Charlestown,02129,,2002,7,B Corp,Year Round;,1,1,1,1,1,1,1,1,1,1,1,1,1,,"Baked goods; Canned, preserved fruits/vegetables; Coffee/tea; Dairy products; Dry beans; Eggs; Fresh/dried herbs; Fresh fruits; Fresh vegetables; Grains/flour; Honey; Maple products; Mushrooms; Nuts; Tofu/non-animal protein; ",1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,Baked goods; Coffee/tea; Dairy products; Dry beans; Eggs; Fresh/dried herbs; Honey; Maple products; Nuts; Tofu/non-animal protein; ,,"Canned, preserved fruits/vegetables; Fresh fruits; Fresh vegetables; Grains/flour; Mushrooms; ",,1,3,1,,1,1,1,,1,3,3,3,,1,,1,3,1,,,,,1,,,USDA Certified Organic; ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,On-line store; Weekly and bi-weekly produce box delivery; ,0,1,0,0,0,0,0,We take ownership of the products and resell to customers; We sell on a consignment basis and take a commission on products sold; ,1,1,Aggregation; ,1,0,0,0,0,0,0,0,0,0,Marketing and promotional services; Branding/labeling products to indicate origin of product; ,1,1,0,0,0,0,0,0,0,Paid employment opportunities for youth; Other education or community awareness programs; Food donation to local food pantries/banks; ,1,0,0,0,0,0,0,0,0,0,0,1,1
5000292,Braga Organic Farms Inc,2014-09-01 14:12:59,2014-09-01 14:24:19,2014-09-01 14:24:19,California,06,Madera,10668 ROAD 26 1/2,93637,Michael Braga,President,bragafarms@yahoo.com,5599759236,www.buyorganicnuts.com,https://www.facebook.com/bragaorganicfarms,,California,06,Madera,039,10668 ROAD 26 1/2,MADERA,93637,,2008,6,C Corp,Year Round;,1,1,1,1,1,1,1,1,1,1,1,1,1,,"Canned, preserved fruits/vegetables; Nuts; ",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,"Canned, preserved fruits/vegetables; Nuts; ",,,3,,,,,,,,,,,,,,,,3,,,,,,,,USDA Certified Organic; ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Small independent grocery stores; Food retail cooperatives; Distributors; Food processors; ,0,1,0,1,0,0,1,1,0,0,0,0,0,0,Buying clubs; On-line store; ,1,1,0,0,0,0,0,We take ownership of the products and resell to customers; ,1,0,Production such as operating a farm or ranch; Packaging/Repackaging; ,0,1,0,0,0,1,0,0,0,0,Marketing and promotional services; Branding/labeling products to indicate origin of product; Demonstration/Incubator farm; ,1,1,1,0,0,0,0,0,0,Food donation to local food pantries/banks; ,0,0,0,0,0,0,0,0,0,0,0,0,1
