OF_ID,createTime,updateTime,finishTime,Location_ST,Location_City,Location_State,Location_StateFIPS,Location_Zip,marketname,Market_Website,Market_Facebook,Market_Twitter,season1_date,season1_time,season1_notes,season1_products,season2_date,season2_time,season2_notes,season2_products,season3_date,season3_time,season3_notes,season3_products,season4_date,season4_time,season4_notes,season4_products,Product_1,Product_2,Product_3,Product_4,Product_5,Product_6,Product_7,Product_8,Product_9,Product_10,Product_11,Product_12,Product_13,Product_14,Product_15,Product_16,Product_17,Product_18,Product_19,Product_20,Product_21,Product_22,Product_23,Product_24,Product_25,Product_26,Product_27,Product_28,ActivityList,Activity_1,Activity_2,Activity_3,Activity_4,Activity_5,Activity_6,Activity_7,Activity_8,Activity_9,Activity_10,Activity_11,FacilitiesList,Facilities_1,Facilities_2,Facilities_3,Facilities_4,Facilities_5,Payment_2,Payment_3,Payment_4,Payment_1
4017399,2014-09-06 14:01:59,2014-09-06 14:31:46,2014-09-06 14:31:46,10600 Highland Springs Ave.,Cherry Valley,California,06,92223,123 Farm at Highland Springs Resort,www.123farm.com,https://www.facebook.com/hsresort,,01/01/2014 to 12/31/2014,Tue: 8:00 AM - 8:00 PM;Wed: 8:00 AM - 8:00 PM;Thu: 8:00 AM - 8:00 PM;Fri: 8:00 AM - 8:00 PM;Sat: 8:00 AM - 8:00 PM;Sun: 8:00 AM - 3:00 PM;,We are closed on Mondays. The hiking trails are open Tues.-Sun. all summer and weekends ONLY fall and winter,Baked goods; Cut flowers; Herbs; Soap; Wild harvested forest products;,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.);  Other: farm camp programs for schools: www.123farm/school;",1,1,1,0,0,0,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas with tables; ,1,1,0,1,0,1,1,1,0
4017170,2014-08-07 18:55:28,2014-08-07 19:14:14,2014-08-07 19:14:14,13701 NE 171st Street,Woodinville,Washington,53,98072,21 Acres Farm Market,21acres.org,https://www.facebook.com/21Acres,,05/28/2014 to 12/27/2014,Wed: 11:00 AM - 6:00 PM;Thu: 11:00 AM - 6:00 PM;Fri: 11:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;,Except National Holidays,Baked goods; Canned or preserved food; Coffee and/or tea; Dairy products; Dry beans; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Juices; Mushrooms; Nuts; Prepared foods; Wild harvested forest products;,01/02/2015 to 05/30/2015,Fri: 11:00 AM - 6:00 PM;Sat: 10:00 AM - 4:00 PM;,Except National Holidays,Baked goods; Canned or preserved food; Coffee and/or tea; Dairy products; Dry beans; Eggs; Fish and/or seafood; Herbs; Fresh fruits; Fresh vegetables; Grains and/or flour; Honey; Juices; Mushrooms; Nuts; Prepared foods; Wild harvested forest products;,,,,,,,,,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,"Celebrations/ corporate events; Educational tours/ classes; Farm meals (lunches, dinners, etc.); Family/ youth activities;  Tours of manufacturing facilities; ",1,1,1,1,0,1,0,0,0,0,0,Hand washing station(s); Flush toilets; Picnic areas without tables; Picnic areas with tables; ,1,1,1,1,0,1,1,1,1
4001442,,2014-07-27 09:38:30,2014-07-27 09:38:30,1876 Brooksfield Rd,Blacksburg,Virginia,51,24060,3 Birds Berry Farm,3birdsberryfarm.com,https://www.facebook.com/3BirdsBerryFarm,,06/20/2014 to 09/01/2014,,"Our hours change during the picking season according to the crops in, but generally we pick 5 mornings and 1 evening each week. Call the 552-4195 for weekly updated message of picking hours and crops in.",Canned or preserved food; Cut flowers; Fresh fruits;,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, Other: U-Pick berry farm with 5.5 acres of small fruit crops;,0,0,0,0,0,0,0,0,0,0,0,Hand washing station(s); Picnic areas with tables; ,1,0,0,1,0,1,0,0,0
4001439,,2014-07-27 15:33:17,2014-07-27 15:33:17,41031 Highway 1056,Franklinton,Louisiana,22,70438,3D Blueberry Farm,http://www.3dblueberries.com,https://www.facebook.com/3DBlueberryFarm,,06/01/2014 to 07/12/2014,Wed: 7:00 AM - 7:00 PM;Sat: 7:00 AM - 7:00 PM;Sun: 7:00 AM - 7:00 PM;,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pick Your Own/U-Pick operation; ,0,0,0,0,1,0,0,0,0,0,0,Flush toilets; Picnic areas without tables; ,0,1,1,0,0,1,1,0,0
4017569,2014-12-04 22:46:39,2014-12-04 22:53:12,2014-12-04 22:53:12,8259 Keys Road,Mount Vernon,Ohio,39,43050,4R Angus Farm,4RAngusFarm.weebly.com,4R Angus Farm,,,,Black Angus All Natural Grass Fed Beef and Chicken available year round.  Grain fed upon request.,Poultry products; Non-poultry meat;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Educational tours/ classes; Family/ youth activities;  Hay rides; Pony rides; ,0,1,0,1,0,0,0,1,0,0,1,Hand washing station(s); Flush toilets; Picnic areas with tables; ,1,1,0,1,0,1,1,0,0
4017320,2014-08-27 11:03:24,2014-08-27 11:14:00,2014-08-27 11:14:00,596 Crump Creek Rd,Blairsville,Georgia,13,30512,7 M Family Farms LLC,,https://www.facebook.com/pages/7-M-Family-Farms-LLC/319840484835464,,01/01/2014 to 12/31/2014,Mon: 10:00 AM - 5:00 PM;Tue: 10:00 AM - 5:00 PM;Wed: 10:00 AM - 5:00 PM;Thu: 10:00 AM - 5:00 PM;Fri: 10:00 AM - 5:00 PM;Sat: 10:00 AM - 6:00 PM;Sun: 12:00 AM - 4:00 PM;,,Crafts and/or woodworking items; Eggs; Fresh fruits; Fresh vegetables; Honey; Soap;,,,,,,,,,,,,,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Educational tours/ classes; Pick Your Own/U-Pick operation; ,0,1,0,0,1,0,0,0,0,0,0,Flush toilets; Picnic areas with tables; ,0,1,0,1,0,1,1,0,0
4015885,,2014-07-26 20:19:59,2014-07-26 20:19:59,37938 Charles Town Pike,Purcellville,Virginia,51,20132,A Dozen Eggs,www.pastureraisedeggs.com,,,01/01/2014 to 12/31/2014,,,Canned or preserved food; Eggs; Honey; Pet food; Poultry products; Wine;,,,,,,,,,,,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,Picnic areas with tables; ,0,0,0,1,0,1,1,0,0
4017540,2014-10-26 11:32:11,2014-10-26 11:38:04,2014-10-26 11:38:04,251 Lost Oak,Bandera,Texas,48,78003,A Garden in Every Home,http://www.agardenineveryhome.com/,https://www.facebook.com/AGardenInEveryHome,,01/01/2014 to 12/31/2014,,"I have an assortment of exotic plants, Black Spanish, Blanc Du bois and Victoria Red Grapes plant starts, Assorted Herbs, and Veggie plants, By Appointment ONLY, Please call 210-413-7392",Bedding plants; Cut flowers; Fresh fruits; Nursery stock;,,,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,0
4004426,,2014-07-23 14:55:13,2014-07-23 14:55:13,PO Box 186,Bow,Washington,53,98232,A Man and His Hoe,amanandhishoe.com,,,01/01/2014 to 12/31/2014,,,Eggs; Fresh vegetables; Poultry products;,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0
4001389,,2014-09-16 11:39:54,2014-09-16 11:39:54,402 S Neilson Ave,Pueblo,Colorado,08,81001,A Wren's Nest Farm,http://awrensnest.com/nest/,https://www.facebook.com/AWrensNestFarm,,06/01/2014,,,Bedding plants; Canned or preserved food; Soap;,,,,,,,,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Educational tours/ classes; ,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0
